objectid,type,title,creator,date,location,description,PEOPLE,SEARCH TERMS,subject,identifier,rights,image_small,image_thumb
2020.23.2,"Print, Digital","Digital Photograph, Window Visit, LaPointe-Fisher Nursing Home, 2020","Wilson, June",2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by June Wilson in Guelph during the national COVID-19 pandemic lockdown, May 2020. A photograph of Frank Docherty (1937-2020) taken by his daughter, June Wilson, at LaPointe-Fisher Nursing Home, located at 271 Metcalfe Street. In response to the COVID-19 pandemic, LaPointe-Fisher Nursing Home went into isolation and refused outside visitors. This window visit was the first time June and Frank saw each other in five weeks. Frank, who struggled with dementia and Parkinson's disease, found the isolation to be both confusing and challenging. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Docherty, Francis ""Frank"" Wilson, June","COVID-19 Pandemic, 2020 LaPointe-Fisher Nursing Home, 271 Metcalfe Street",FAMILY PANDEMIC PHOTOGRAPHS - COLOUR SENIORS SENIORS - HOUSING,2020.23.2 - Digital Print,Original image and copyright maintained by June Wilson.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020232.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020232.jpg
2020.23.3,"Print, Digital","Digital Photograph, Window Visit, LaPointe-Fisher Nursing Home, 2020","Wilson, June",2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by June Wilson in Guelph during the national COVID-19 pandemic lockdown, May 2020. A photograph of Frank Docherty (1937-2020) taken by his daughter, June Wilson, at LaPointe-Fisher Nursing Home, located at 271 Metcalfe Street. In response to the COVID-19 pandemic, LaPointe-Fisher Nursing Home went into isolation and refused outside visitors. This window visit was the first time June and Frank saw each other in five weeks. Frank, who struggled with dementia and Parkinson's disease, found the isolation to be both confusing and challenging. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Docherty, Francis ""Frank"" Wilson, June","COVID-19 Pandemic, 2020 LaPointe-Fisher Nursing Home, 271 Metcalfe Street",FAMILY PANDEMIC PHOTOGRAPHS - COLOUR SENIORS SENIORS - HOUSING,2020.23.3 - Digital Print,Original image and copyright maintained by June Wilson.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020233.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020233.jpg
2020.26.1,"Print, Digital","Digital Photograph, Gregory Denton, Black Lives Matter Solidarity March and Protest, 6 June 2020",Gregory Denton,06-Jun-20,"Guelph, Ontario, Canada","Panoramic colour photograph (digital file) by Gregory Denton, Black Lives Matter Solidarity March and Protest held on 6 June 2020. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Denton, Gregory","Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street",PROTEST PHOTOGRAPHS - PANORAMIC,2020.26.1 - Digital Print,Original image and copyright maintained by Gregory Denton.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020261.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020261.jpg
2020.26.2,"Print, Digital","Digital Photograph, Gregory Denton, Black Lives Matter Solidarity March and Protest, 6 June 2020",Gregory Denton,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) by Gregory Denton, Black Lives Matter Solidarity March and Protest held on 6 June 2020. Photograph shows a crowd of people standing at the intersection of Wilson and Carden streets. The crowd exends down the length of Carden Street. Many people are holding signs above their heads. Most figures are facing away from the camera. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Denton, Gregory","Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street Wilson Street",PROTEST PHOTOGRAPHS - PANORAMIC,2020.26.2 - Digital Print,Original image and copyright maintained by Gregory Denton.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020262.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020262.jpg
2020.27.1,Triptych,"Digital Photographs, Lockdown Triptych, Judy McVittie, COVID-19 Pandemic, May 2020","McVittie, Judy",May-20,"Guelph, Ontario, Canada","Triptych of colour photographs (digital files) recording Judy McVittie's experience during the early months of the COVID-19 Pandemic lockdown, May 2020. These images were taken in Judy's eighth week of lockdown. During a typical year, Judy (who is retired) would normally spend the winter months in Arizona. In 2020 Judy returned to Canada early because of the COVID-19 pandemic and the closed borders between Canada and the United States. The triptych includes a series of three photographs: 1. The view from the residence window into the retirement community's Commons at 254 Summerfield Drive, taken on 11 May 2020. 2. Hydrangea cuttings on a windowsill. Image is captioned: ""I decided to try and grow some cuttings from my hydrangea bushes as I shelter indoors. They are doing well on the windowsill."" 3. Tulips in the snow, captioned: ""My tulips are trying hard to hang in!""","McVittie, Judy","COVID-19 Pandemic, 2020",GARDENING PANDEMIC SENIORS SENIORS - HOUSING,Notice to Staff,Original images and copyright maintained by Judy McVittie.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020271.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020271.jpg
2020.28.1,"Print, Digital","Digital Photograph, Closed Sign in Exhibition Park, Gayle Gorman, 6 April 2020","Gorman, Gayle",06-Apr-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Gayle Gorman in Guelph during the national COVID-19 pandemic lockdown, 6 April 2020. The photograph is a close-up view of a ""Closed"" sign, posted on a metal pole at Exhibition Park (located between Exhibition, Kathleen and Division Streets and London Road West). An empty picnic table and trees are visible in the background behind the sign. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Gorman, Gayle","COVID-19 Pandemic, 2020 Exhibition Park",CHILDREN PANDEMIC PHOTOGRAPHS - COLOUR,2020.28.1 - Digital Print,Original image and copyright maintained by Gayle Gorman.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020281.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020281.jpg
2020.28.2,"Print, Digital","Digital Photograph, Caution Tape in Exhibition Park, Gayle Gorman, 6 April 2020","Gorman, Gayle",06-Apr-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Gayle Gorman in Guelph during the national COVID-19 pandemic lockdown, 6 April 2020. The photograph shows a wooden bench wrapped in yellow caution tape, in Exhibition Park (located between Exhibition, Kathleen and Division Streets and London Road West). Trees and an open grassy area are visible in the background. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Gorman, Gayle","COVID-19 Pandemic, 2020 Exhibition Park",CHILDREN PANDEMIC PHOTOGRAPHS - COLOUR,2020.28.2 - Digital Print,Original image and copyright maintained by Gayle Gorman.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020282.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020282.jpg
2020.28.3,"Print, Digital","Digital Photograph, Caution Tape at Tennis Court, Gayle Gorman, 6 April 2020","Gorman, Gayle",06-Apr-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Gayle Gorman in Guelph during the national COVID-19 pandemic lockdown, 6 April 2020. The photograph shows a chainlink fence and gate tied with yellow caution tape. A tennis court is visible beyond the fence. Three signs are secured to the chainlink above the tape. Top left sign: ""As a courtesy to other players, limit play to 1/2 hr / Watch for foul balls / No cleats or spikes on court / No inline skating / No ball hockey."" Top right sign: ""No Dogs Permitted.' The bottom sign is a COVID-19 lockdown closure notice, issued by the City of Guelph. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Gorman, Gayle","COVID-19 Pandemic, 2020 Exhibition Park",CHILDREN PANDEMIC PHOTOGRAPHS - COLOUR,2020.28.3 - Digital Print,Original image and copyright maintained by Gayle Gorman.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020283.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020283.jpg
2020.29.1,"Print, Digital","Digital Photograph, ""Park'n Dance"" Zoom Class, Leslie Fisher, 2020","Fisher, Leslie",2020,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Leslie Fisher during the national COVID-19 pandemic lockdown, 2020. The photograph shows a close-up view of a laptop screen showing the Park'n Dance's first Zoom call. On the screen is a grid of 16 video feeds. Sarah Jane Burton founded Park'n Dance: Dance for People with Parkinson's in Guelph in 2016. She teaches dance classes for people with Parkinson's, their caregivers, and volunteers. During the COVID-19 pandemic lockdown, Sarah adjusted her classes to an online format. Participants are guided through the dances while recorded music plays. After an hour of dancing, the class breaks into smaller groups to chat and catch-up. In the live classes before the pandemic, the classes enjoyed live accompaniment and a Social Time with light refreshments. Sarah says that it was a ""steep learning curve for me as a senior, and for most of the senior participants, to learn how to connect through Zoom, and how to balance clear voice instructions with clearly audible music."" On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Burton, Sarah","COVID-19 Pandemic, 2020",DANCE PANDEMIC SENIORS,2020.29.1 - Digital Print,Original image and copyright maintained by Leslie Fisher.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020291.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020291.jpg
2020.30.1,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph features a line of protesters wearing masks and holding signs made of cardboard and cardstock with various handwritten slogans above their heads. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.1 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020301.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020301.jpg
2020.30.10,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts an individual with their fists raised and head bowed. The shot is taken from behind the figure. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.10 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/20203010.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/20203010.jpg
2020.30.11,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. A photograph of masked protesters holding handmade signs with various slogans and marching at the intersection of Carden and Wyndham Streets in downtown Guelph. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street Downtown Guelph Wyndham Street",PHOTOGRAPHS - COLOUR PROTEST,2020.30.11 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/20203011.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/20203011.jpg
2020.30.2,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity Protest held on 6 June 2020. The photograph features a masked person with a masked child sitting on their shoulders. The person is holding a homemade sign above their head. The sign reads: You playing small does not serve the world! - Marianne Williamson - Get uncomfortable - Educate - Take Action - Make a Change - Repeat Black Lives Matter On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",CHILDREN PHOTOGRAPHS - COLOUR PROTEST,2020.30.2 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020302.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020302.jpg
2020.30.3,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph features two masked figures each holding a homemade sign. The sign on the left reads: ""This system got y'all thinking 'legal' means 'right'. Reminder: slavery was 'legal'."" The sign on the right reads: ""Until the color of your skin is the target you will never understand"" - Angela Davis. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.3 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020303.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020303.jpg
2020.30.4,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a masked person standing outside City Hall in downtown Guelph. The person is holding a homemade sign that reads: ""Black Lives Matter."" On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Guelph City Hall Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.4 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020304.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020304.jpg
2020.30.5,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a masked person holding a cardboard sign that reads ""No Justice, No Peace."" A second masked person stands in the foreground. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.5 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020305.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020305.jpg
2020.30.6,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a masked person sitting on a bench outside the City Hall in downtown Guelph. The person holds a cardboard sign that reads: ""BLM."" On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Guelph City Hall Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.6 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020306.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020306.jpg
2020.30.7,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a number of protesters who are wearing masks and holding signs made of cardboard and cardstock with various handwritten slogans above their heads. The Carden Street road sign is clearly visible in the background. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Carden Street Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.7 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020307.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020307.jpg
2020.30.8,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts two people who are wearing face masks and holding a sign that reads ""Black Lives Matter."" The sign also lists the names of 18 victims of police violence, including: George Floyd, Regis Korchinski-Paquet, Amaud Arbery, Botham Jean, Atatiana Jefferson, Alton Sterling, Tamir Rice, Trayvon Martin, Sandra Bland, Breonna Taylor, Philando Castile, Eric Garner, Amadou Diallo, Aiyana Jones, Renisha McBride, Stephon Clark, Jordan Davis and Keith Scott. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.8 - Digital Print,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020308.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020308.jpg
2020.30.9,"Print, Digital","Digital Photograph, Miranda Fowle, Black Lives Matter Solidarity March and Protest, 6 June 2020","Fowle, Miranda",06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file) taken by Miranda Fowle, Black Lives Matter Solidarity March and Protest held on 6 June 2020. The photograph depicts a child who is standing on a bench and holding a cardboard sign that reads: ""I am mad."" On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Fowle, Miranda","Black Lives Matter Solidarity Protest, 6 June 2020 Church of Our Lady Downtown Guelph",PHOTOGRAPHS - COLOUR PROTEST,2020.30.9 - Digital Pint,Original image and copyright maintained by Miranda Fowle,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020309.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020309.jpg
2020.32.1,"Print, Digital","Digital Photograph, ""Canadian Blood,"" Kavya Yoganathan, Black Lives Matter Solidarity March and Protest, 6 June 2020",Kavya Yoganathan,06-Jun-20,"Guelph, Ontario, Canada","Black and white photograph (digital file), titled ""Canadian Blood"" by Kavya Yoganathan, taken at the Black Lives Matter Solidarity March and Protest on 6 June 2020. The image depicts protesters who are wearing face masks and holding homemade protest signs. The central figure is a person, whose arms are extended. They are wearing a t-shirt with the words ""I Can't Breathe"" across the chest. The words ""Canadian Blood"" are written in capital letters on their right forearm. The person to the right of the central figure holds a sign that reads: ""We will not be silent."" The person to the left of the central figure carries a sign that reads ""Canada is not innocent."" The Petrie building is visible in the background. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Yoganathan, Kavya","Black Lives Matter Solidarity Protest, 6 June 2020 Macdonell Street Petrie Building Wyndham Street",PHOTOGRAPHERS PHOTOGRAPHS - BLACK & WHITE PROTEST,2020.32.1 - Digital Print,Original image and copyright maintained by Kavya Yoganathan.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/218/2020321.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/218/2020321.jpg
2020.32.2,"Print, Digital","Digital Photograph, ""People's Power,"" Kavya Yoganathan, Black Lives Matter Solidarity March and Protest, 6 June 2020",Kavya Yoganathan,06-Jun-20,"Guelph, Ontario, Canada","Colour photograph (digital file), titled ""People's Power"" by Kavya Yoganathan, taken at the Black Lives Matter Solidarity March and Protest on 6 June 2020. The photograph depicts a protester who is wearing a face mask and holding a handmade sign that reads: ""Police Chief Gordon Cobey: We want a public commitment to racial equality in Guelph policing."" Other masked protesters with signs are visible in the background. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Yoganathan, Kavya","Black Lives Matter Solidarity Protest, 6 June 2020",PHOTOGRAPHERS PHOTOGRAPHS - COLOUR PROTEST,2020.32.2 - Digital Print,Original image and copyright maintained by Kavya Yoganathan.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/218/2020322.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/218/2020322.jpg
2020.32.3,"Print, Digital","Digital Photograph, ""Stay Focused,"" Kavya Yoganathan, Black Lives Matter Solidarity March and Protest, 6 June 2020",Kavya Yoganathan,06-Jun-20,"Guelph, Ontario, Canada","Black and white photograph (digital file), titled ""Stay Focused"" by Kavya Yoganathan, taken at the Black Lives Matter Solidarity March and Protest on 6 June 2020. The photograph depicts a protestor, shown from behind, with their arms raised. The person is positioned in the immediate foreground of the image, in blurred focus. Their head and raised left arm form a viewpoint to the street beyond. In the distance is a Guelph Police vehicle. An officer stands to the right of the car. The police car and officer are in sharp focus. On 6 June 2020, approximately 8,000 people gathered in downtown Guelph. The assembled crowd marched together in a peaceful protest organized by the Guelph Black Heritage Society in solidarity with the Black Lives Matter movement. Another 20,000 people followed the event through mainstream and social media platforms.","Yoganathan, Kavya","Black Lives Matter Solidarity Protest, 6 June 2020 Gordon Street Waterloo Avenue",PHOTOGRAPHERS PHOTOGRAPHS - BLACK & WHITE PROTEST,2020.32.3 - Digital Print,Original image and copyright maintained by Kavya Yoganathan.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/218/2020323.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/218/2020323.jpg
